Date,Open,High,Low,Close,Adj Close,Volume,,logreturn
4/18/2017,113.440002,114.610001,113.400002,114.279999,111.935143,4574200,,-0.002515432
4/19/2017,114.419998,114.489998,113.480003,113.620003,111.288689,3044700,,-0.000114703
4/20/2017,113.519997,113.970001,113.389999,113.589996,111.2593,2973000,,-0.00061216
4/21/2017,113.550003,113.800003,113.269997,113.43,111.102585,3885300,,0.003394297
4/24/2017,114.360001,114.480003,113.910004,114.32,111.974327,3221500,,-0.000608279
4/25/2017,114.209999,114.57,114,114.160004,111.817604,3643600,,-0.003169085
4/26/2017,111.75,113.760002,111.339996,113.330002,111.004631,5343900,,-0.002652219
4/27/2017,113.099998,113.440002,112.510002,112.639999,110.328796,4096200,,0.002460606
4/28/2017,112.339996,113.43,112.190002,113.279999,110.955666,4855300,,-0.003850882
5/1/2017,112.93,113.110001,112.269997,112.279999,109.976173,4074300,,3.87E-05
5/2/2017,112.75,112.889999,112.07,112.290001,109.985977,3082400,,-0.001938147
5/3/2017,112.389999,112.709999,111.699997,111.790001,109.496231,3342600,,0.004521738
5/4/2017,112.169998,113,111.809998,112.959999,110.642227,3488800,,0.000998482
5/5/2017,113.040001,113.279999,112.739998,113.220001,110.896896,3046100,,0
5/8/2017,113.199997,113.43,112.779999,113.220001,110.896896,3097200,,-0.00192216
5/9/2017,113.239998,113.410004,112.550003,112.720001,110.407158,2708200,,0.000462098
5/10/2017,112.699997,112.870003,112.480003,112.839996,110.524696,2160100,,0.000769086
5/11/2017,112.639999,113.089996,112.529999,113.040001,110.720596,2277200,,-0.000499778
5/12/2017,112.93,113.300003,112.720001,112.910004,110.593254,2383500,,0.003943835
5/15/2017,112.900002,114,112.769997,113.940002,111.602127,3500300,,-0.000572136
5/16/2017,114.059998,114.660004,113.589996,113.790001,111.4552,2444300,,-0.000190901
5/17/2017,113.790001,114.290001,113.32,113.739998,111.406219,2999300,,0.001105933
5/18/2017,113.779999,114.279999,113.290001,114.029999,111.690277,3439500,,-0.001296824
5/19/2017,114.169998,114.5,113.459999,113.690002,111.357262,5750100,,0.003841107
5/22/2017,113.690002,115,113.690002,114.699997,112.346527,3324000,,0.001323207
5/23/2017,114.709999,115.440002,114.709999,115.050003,112.689346,3261300,,0.003795961
5/24/2017,115.309998,116.330002,115.120003,116.059998,113.678627,2816000,,0.005466159
5/25/2017,116.360001,117.68,116.150002,117.529999,115.118462,3596200,,0.001401892
5/26/2017,117.25,118,117.199997,117.910004,115.490662,3104800,,0.000368189
5/30/2017,117.739998,118.120003,117.5,118.010002,115.588615,3231600,,-0.001243107
5/31/2017,116.910004,117.940002,116.870003,116.870003,115.258232,5232900,,0.001335746
6/1/2017,116.800003,117.260002,116.059998,117.230003,115.613274,4404900,,0.001626948
6/2/2017,117.459999,117.699997,117.040001,117.669998,116.047195,3162900,,0.000774389
6/5/2017,117.389999,117.970001,117.050003,117.879997,116.254303,2968800,,-0.000663677
6/6/2017,117.779999,117.940002,117.459999,117.699997,116.076782,2643200,,-0.002405019
6/7/2017,117.169998,117.57,116.82,117.050003,115.435753,3681100,,-0.004325496
6/8/2017,117.050003,117.080002,115.589996,115.889999,114.29174,3927000,,0.000187358
6/9/2017,115.660004,116.129997,115.360001,115.940002,114.341057,3197700,,0.001084951
6/12/2017,115.940002,116.620003,115.940002,116.230003,114.62706,3492100,,0.00033616
6/13/2017,115.470001,116.589996,115.470001,116.32,114.71582,2760000,,0.003902695
6/14/2017,116.910004,118.059998,116.830002,117.370003,115.751335,3597200,,-0.00059243
6/15/2017,117,117.480003,116.510002,117.209999,115.593544,3372700,,-0.001298799
6/16/2017,117.370003,117.400002,116.300003,116.860001,115.248367,5156200,,0.001595116
6/19/2017,117.019997,117.290001,116.230003,117.290001,115.67244,2436600,,0.002436945
6/20/2017,117.290001,118.139999,117.18,117.949997,116.323334,3703500,,-0.001955867
6/21/2017,117.779999,118.239998,117.239998,117.419998,115.800644,3767100,,-0.004722842
6/22/2017,117.330002,117.410004,116.050003,116.150002,114.548164,3288100,,0.003018141
6/23/2017,116.209999,117.370003,116.089996,116.959999,115.346992,3453400,,0.000593699
6/26/2017,117.419998,117.830002,117.059998,117.120003,115.504784,2704000,,-0.00439777
6/27/2017,117.239998,117.379997,115.940002,115.940002,114.341057,2884300,,0.001645046
6/28/2017,116.519997,116.870003,116.199997,116.379997,114.774986,3110600,,-0.004501272
6/29/2017,116.07,116.199997,114.889999,115.18,113.591537,3474400,,0.001167312
6/30/2017,115.529999,116.110001,115.300003,115.489998,113.897263,3313300,,-0.000188058
7/3/2017,115.550003,116,115.339996,115.440002,113.847954,2250800,,-0.00052701
7/5/2017,115.5,115.550003,114.879997,115.300003,113.709885,4023100,,-0.000640805
7/6/2017,114.970001,115.419998,114.849998,115.129997,113.542229,4007000,,0.001431093
7/7/2017,115.410004,115.660004,114.830002,115.510002,113.916992,3972500,,-0.004687391
7/10/2017,115.919998,116,114.199997,114.269997,112.694084,5771200,,-0.002019001
7/11/2017,113.339996,113.980003,112.25,113.739998,112.171394,6368500,,0.00391518
7/12/2017,114.489998,114.980003,114.279999,114.769997,113.187195,3885200,,-0.002847366
7/13/2017,114.949997,115.040001,113.919998,114.019997,112.447533,3089400,,0.003452381
7/14/2017,114.260002,115.120003,114.25,114.93,113.344986,2956400,,0
7/17/2017,114.940002,115.160004,114.839996,114.93,113.344986,2481300,,0.000302194
7/18/2017,114.849998,115.150002,114.389999,115.010002,113.423882,2694800,,0.001244336
7/19/2017,115.010002,115.349998,114.629997,115.339996,113.749329,2578200,,0.000639665
7/20/2017,115.339996,116.059998,115.110001,115.510002,113.916992,3518100,,0.004190662
7/21/2017,115.779999,116.669998,115.379997,116.629997,115.021538,3476400,,-0.001865844
7/24/2017,116.5,116.669998,116.089996,116.129997,114.528435,3681300,,0.001195049
7/25/2017,116.629997,116.779999,116.139999,116.449997,114.844017,3075100,,0.002751071
7/26/2017,116.300003,117.419998,116.150002,117.190002,115.573814,3305600,,0.00055554
7/27/2017,117.330002,118.059998,116.620003,117.339996,115.721748,2954800,,-0.00271026
7/28/2017,117.309998,117.470001,116.199997,116.610001,115.001823,3276300,,0
7/31/2017,116.529999,116.860001,116.18,116.610001,115.001823,3098600,,-0.002577468
8/1/2017,116.690002,116.779999,115.900002,115.919998,114.321327,2946100,,-0.001162972
8/2/2017,115.730003,115.980003,115.139999,115.610001,114.015602,2626400,,0.002584359
8/3/2017,115.730003,116.660004,115.68,116.300003,114.696098,2986200,,0.000261306
8/4/2017,116.32,116.489998,115.870003,116.370003,114.765129,2955200,,0.002196324
8/7/2017,116.449997,117.220001,116.379997,116.959999,115.346992,2569600,,-0.000929286
8/8/2017,116.800003,116.949997,116.370003,116.709999,115.100441,2412600,,-0.000297817
8/9/2017,116.489998,116.699997,115.959999,116.629997,115.021538,2513800,,-0.000931922
8/10/2017,116.349998,116.839996,116.080002,116.379997,114.774986,2236000,,0.000484868
8/11/2017,116.75,117.25,116.349998,116.510002,114.903198,2759700,,0.004929514
8/14/2017,117.360001,118.18,117.010002,117.839996,116.214851,3171300,,0.004144735
8/15/2017,117.879997,119.150002,117.849998,118.970001,117.329269,2749800,,0.000474318
8/16/2017,118.959999,119.360001,118.82,119.099998,117.457481,2373900,,-0.002596777
8/17/2017,119,119.389999,118.25,118.389999,116.757263,3096900,,-0.002907673
8/18/2017,118.290001,118.43,117.400002,117.599998,115.978165,3776500,,0.002430565
8/21/2017,117.800003,118.459999,117.550003,118.260002,116.629066,2119500,,-0.001250434
8/22/2017,118.25,118.699997,117.650002,117.919998,116.293747,2313700,,-0.002326467
8/23/2017,117.900002,118.120003,117.230003,117.290001,115.67244,2616300,,-0.003980121
